Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
httpuv,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.6.9,,R (>= 2.15.1),"Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",,GPL (>= 2) | file LICENSE,,,,,yes,4.2.2
httr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4.5,,R (>= 3.5),"curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",,MIT + file LICENSE,,,,,no,4.2.2
ini,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.1,,,,,testthat,,GPL-3,,,,,no,4.2.1
interp,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1-3,,R (>= 3.5.0),"Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr",RcppEigen,GPL (>= 2),,,,,yes,4.2.1
ipred,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.9-13,,R (>= 2.10),"rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",,"mvtnorm, mlbench, TH.data, randomForest, party",,GPL (>= 2),,,,,yes,4.2.1
isoband,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.2.7,,,"grid, utils",,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",,MIT + file LICENSE,,,,,yes,4.2.2
iterators,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.14,,"R (>= 2.5.0), utils",,,"RUnit, foreach",,Apache License (== 2.0),,,,,no,4.2.1
jpeg,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1-10,,R (>= 2.9.0),,,,,GPL-2 | GPL-3,,,,,yes,4.2.2
jquerylib,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1.4,,,htmltools,,testthat,,MIT + file LICENSE,,,,,no,4.2.1
jsonify,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.2,,R (>= 3.3.0),Rcpp (>= 0.12.18),"rapidjsonr (>= 1.2.0), Rcpp","covr, testthat, knitr, rmarkdown",,MIT + file LICENSE,,,,,yes,4.2.2
jsonlite,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.8.4,,methods,,,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",,MIT + file LICENSE,,,,,yes,4.2.2
knitr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.42,,R (>= 3.3.0),"evaluate (>= 0.15), highr, methods, yaml (>= 2.1.19), xfun (>=
0.34), tools",,"markdown (>= 1.3), formatR, testit, digest, rgl (>=
0.95.1201), codetools, rmarkdown, htmlwidgets (>= 0.7),
webshot, tikzDevice (>= 0.10), tinytex, reticulate (>= 1.4),
JuliaCall (>= 0.11.1), magick, png, jpeg, gifski, xml2 (>=
1.2.0), httr, DBI (>= 0.4-1), showtext, tibble, sass, bslib,
ragg, gridSVG, styler (>= 1.2.0), targets (>= 0.6.0)",,GPL,,,,,no,4.2.2
labeling,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.2,,,"stats, graphics",,,,MIT + file LICENSE | Unlimited,,,,,no,4.2.1
lars,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3,,R (>= 2.10),,,,,GPL-2,,,,,yes,4.2.2
later,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3.0,,,"Rcpp (>= 0.12.9), rlang",Rcpp,"knitr, rmarkdown, testthat (>= 2.1.0)",,MIT + file LICENSE,,,,,yes,4.2.1
latticeExtra,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.6-30,,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",,"maps, mapproj, deldir, quantreg, zoo, mgcv",,GPL (>= 2),,,,,no,4.2.1
lava,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7.2.1,,R (>= 3.0),"future.apply, grDevices, graphics, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, graph, knitr, bookdown, rmarkdown, igraph (>= 0.6),
lavaSearch2, lme4, mets (>= 1.1), nlme, optimx, polycor,
quantreg, rgl, R.rsp (>= 0.40), targeted (>= 0.2), testthat (>=
0.11), visNetwork, zoo",,GPL-3,,,,,no,4.2.2
lazyeval,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.2.2,,R (>= 3.1.0),,,"knitr, rmarkdown (>= 0.2.65), testthat, covr",,GPL-3,,,,,yes,4.2.1
leaflet,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.1.1,,R (>= 3.1.0),"base64enc, crosstalk, htmlwidgets (>= 1.5.4), htmltools,
magrittr, markdown, methods, png, RColorBrewer, raster, scales
(>= 1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers
(>= 1.8.0)",,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat (>= 3.0.0), s2",,GPL-3,,,,,no,4.2.2
leaflet.extras,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.0,,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools, stringr, magrittr",,"jsonlite, readr",,GPL-3 | file LICENSE,,,,,no,4.2.2
leaflet.providers,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.9.0,,R (>= 2.10),,,"V8, jsonlite, testthat (>= 2.1.0)",,BSD_2_clause + file LICENSE,,,,,no,4.2.2
leaps,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.1,,,,,biglm,,GPL (>= 2),,,,,yes,4.2.2
lifecycle,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.3,,R (>= 3.4),"cli (>= 3.4.0), glue, rlang (>= 1.0.6)",,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",,MIT + file LICENSE,,,,,no,4.2.1
listenv,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.9.0,,R (>= 3.1.2),,,"R.utils, R.rsp, markdown",,LGPL (>= 2.1),,,,,no,4.2.2
lmodel2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7-3,,R (>= 2.14.0),,,,,GPL-2,,,,,no,4.2.2
lubridate,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.9.2,,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo",GPL (>= 2),,,,,yes,4.2.2
magrittr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.3,,R (>= 3.4.0),,,"covr, knitr, rlang, rmarkdown, testthat",,MIT + file LICENSE,,,,,yes,4.2.1
mapproj,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.11,,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",,,,Lucent Public License,,,,,yes,4.2.2
maps,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.4.1,,R (>= 3.5.0),"graphics, utils",,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",,GPL-2,,,,,yes,4.2.2
maptools,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1-6,,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)",gpclib,GPL (>= 2),,,,,yes,4.2.2
markdown,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.5,,R (>= 2.11.1),"utils, commonmark, xfun (>= 0.35)",,"knitr, rmarkdown (>= 2.18), yaml, RCurl",,GPL-2,,,,,no,4.2.2
Matrix,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.5-3,recommended,"R (>= 3.5.0), methods","graphics, grid, lattice, stats, utils",,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep",GPL (>= 2) | file LICENCE,,,,,yes,4.2.2
MatrixModels,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.5-1,,R (>= 3.6.0),"stats, methods, Matrix (>= 1.4-2)",,,,GPL (>= 2),,,,,no,4.2.1
matrixStats,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.63.0,,R (>= 2.12.0),,,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",,Artistic-2.0,,,,,yes,4.2.2
maxnet,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1.4,,,glmnet,,,,MIT + file LICENSE,,,,,no,4.2.1
mda,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.5-3,,"R (>= 3.5.0), stats, class",,,"earth, testthat",,GPL-2,,,,,yes,4.2.1
memoise,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.1,,,"rlang (>= 0.4.10), cachem",,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",,MIT + file LICENSE,,,,,no,4.2.1
mime,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.12,,,tools,,,,GPL,,,,,yes,4.2.1
miniUI,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1.1.1,,,"shiny (>= 0.13), htmltools (>= 0.3), utils",,,,GPL-3,,,,,no,4.2.1
ModelMetrics,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.2.2,,R (>= 3.2.2),"Rcpp, data.table",Rcpp,testthat,,GPL (>= 2),,,,,yes,4.2.1
munsell,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.5.0,,,"colorspace, methods",,"ggplot2, testthat",,MIT + file LICENSE,,,,,no,4.2.1
ncdf4,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.21,,,,,,,GPL (>= 3),,,,,yes,4.2.2
nloptr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.3,,,,testthat,"knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",,LGPL (>= 3),,,,,yes,4.2.1
numDeriv,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2016.8-1.1,,R (>= 2.11.1),,,,,GPL-2,,,,,no,4.2.1
oai,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4.0,,,"xml2 (>= 1.0.0), httr (>= 1.2.0), plyr (>= 1.8.4), stringr (>=
1.1.0), tibble (>= 1.2)",,"DBI, knitr, RSQLite, testthat, markdown, covr",,MIT + file LICENSE,,,,,no,4.2.2
oceancolouR,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.0.0.9000,,R (>= 3.5.0),"lubridate, raster, hdf5r, latticeExtra, sp, maptools, scales,
lmodel2, stringr, boot, magrittr, ggplot2, dplyr, patchwork,
tidyr, geodist, rasterVis, rgdal, ncdf4, rnaturalearth",,"knitr, rmarkdown",,"`use_mit_license()`, `use_gpl3_license()` or friends to pick a
license",,,,,no,4.2.2
openssl,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.5,,,askpass,,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",,MIT + file LICENSE,,,,,yes,4.2.2
parallelly,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.34.0,,,"parallel, tools, utils",,,,LGPL (>= 2.1),,,,,no,4.2.2
patchwork,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1.2,,,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",,MIT + file LICENSE,,,,,no,4.2.2
PCICt,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.5-4.4,,"R (>= 2.12.0), methods, graphics",,,RUnit,,GPL-2,,,,,yes,4.2.2
pillar,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.8.1,,,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.3.8)",,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",,MIT + file LICENSE,,,,,no,4.2.1
pixmap,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4-12,,,"methods, graphics, grDevices",,,,GPL-2,,,,,no,4.2.2
pkgbuild,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4.0,,R (>= 3.4),"callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot, withr (>= 2.3.0)",,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0)",,MIT + file LICENSE,,,,,no,4.2.2
pkgconfig,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.3,,,utils,,"covr, testthat, disposables (>= 1.0.3)",,MIT + file LICENSE,,,,,no,4.2.1
pkgdown,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.0.7,,R (>= 3.1.0),"bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",,MIT + file LICENSE,,,,,no,4.2.2
pkgload,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3.2,,R (>= 3.4.0),"cli (>= 3.3.0), crayon, desc, fs, glue, methods, rlang (>=
1.0.3), rprojroot, utils, withr (>= 2.4.3)",,"bitops, covr, mathjaxr, mockr, pak, pkgbuild, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",,GPL-3,,,,,no,4.2.2
plotmo,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.6.2,,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix, TeachingDemos",,,"C50 (>= 0.1.0-24), earth (>= 5.1.2), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-51), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-15), rpart.plot (>= 3.0.8)",,GPL-3,,,,,no,4.2.1
plotrix,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.8-2,,R (>= 3.5.0),"grDevices, graphics, stats, utils",,,,GPL (>= 2),,,,,no,4.2.1
pls,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.8-1,,R (>= 3.5.0),"grDevices, graphics, methods, stats",,"MASS, parallel, Rmpi, testthat, RUnit",,GPL-2,,,,,no,4.2.2
plyr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.8.8,,R (>= 3.1.0),Rcpp (>= 0.11.0),Rcpp,"abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",,MIT + file LICENSE,,,,,yes,4.2.2
png,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.1-8,,R (>= 2.9.0),,,,,GPL-2 | GPL-3,,,,,yes,4.2.2
polynom,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4-1,,,"stats, graphics",,"knitr, rmarkdown",,GPL-2,,,,,no,4.2.1
praise,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.0,,,,,testthat,,MIT + file LICENSE,,,,,no,4.2.1
PresenceAbsence,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1.11,,R (>= 2.2.0),,,,,Unlimited,,,,,no,4.2.2
prettyunits,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1.1,,,,,"codetools, covr, testthat",,MIT + file LICENSE,,,,,no,4.2.1
pROC,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.18.0,,R (>= 2.14),"methods, plyr, Rcpp (>= 0.11.1)",Rcpp,"microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",,GPL (>= 3),,,,,yes,4.2.1
processx,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.8.0,,R (>= 3.4.0),"ps (>= 1.2.0), R6, utils",,"callr (>= 3.7.0), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0), withr",,MIT + file LICENSE,,,,,yes,4.2.2
prodlim,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2019.11.13,,R (>= 2.9.0),"Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava",Rcpp,,,GPL (>= 2),,,,,yes,4.2.1
profvis,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.7,,R (>= 3.0),"htmlwidgets (>= 0.3.2), stringr",,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",,GPL-3 | file LICENSE,,,,,yes,4.2.1
progress,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.2,,,"hms, prettyunits, R6, crayon",,"Rcpp, testthat, withr",,MIT + file LICENSE,,,,,no,4.2.2
progressr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.13.0,,R (>= 3.5.0),"digest, utils",,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",,GPL (>= 3),,,,,no,4.2.2
promises,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.0.1,,,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",,MIT + file LICENSE,,,,,yes,4.2.1
proxy,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.4-27,,R (>= 3.4.0),"stats, utils",,cba,,GPL-2,,,,,yes,4.2.1
ps,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.7.2,,R (>= 3.4),utils,,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0),",,MIT + file LICENSE,,,,,yes,4.2.2
purrr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.1,,R (>= 3.4.0),"cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)",cli,"covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",,MIT + file LICENSE,,,,,yes,4.2.2
quantreg,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,5.94,,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",,"tripack, interp, rgl, logspline, nor1mix, Formula, zoo,
R.rsp, conquer",,GPL (>= 2),,,,,yes,4.2.1
R6,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.5.1,,R (>= 3.0),,,"testthat, pryr",,MIT + file LICENSE,,,,,no,4.2.1
ragg,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.5,,,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat",,MIT + file LICENSE,,,,,yes,4.2.2
randomForest,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,4.7-1.1,,"R (>= 4.1.0), stats",,,"RColorBrewer, MASS",,GPL (>= 2),,,,,yes,4.2.1
rapidjsonr,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.2.0,,,,,,,MIT + file LICENSE,,,,,yes,4.2.2
rappdirs,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.3,,R (>= 3.2),,,"roxygen2, testthat (>= 3.0.0), covr, withr",,MIT + file LICENSE,,,,,yes,4.2.1
raster,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.6-20,,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.6-41)",Rcpp,"ncdf4, igraph, tcltk, parallel, rasterVis, MASS, sf,
tinytest, gstat, fields, exactextractr",,GPL (>= 3),,,,,yes,4.2.2
rasterVis,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.51.5,,"R (>= 3.0.0), methods, lattice (>= 0.20-41)","raster (>= 3.4-13), terra (>= 1.4-9), latticeExtra, stats,
utils, parallel, grid, grDevices, RColorBrewer, hexbin, sp (>=
1.0-6), zoo, viridisLite",,"rgl, ggplot2, colorspace, dichromat, sf",,GPL-3,,,,,no,4.2.2
rbison,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.0,,,"plyr, crul (>= 0.7.4), ggplot2, mapproj, grid, sp, dplyr (>=
0.5.0), jsonlite (>= 1.1), data.table, tibble",,"knitr, rmarkdown, testthat, taxize, vcr",,MIT + file LICENSE,,,,,no,4.2.1
rcmdcheck,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4.0,,,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",,MIT + file LICENSE,,,,,no,4.2.1
RColorBrewer,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.1-3,,R (>= 2.0.0),,,,,Apache License 2.0,,,,,no,4.2.1
Rcpp,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.10,,,"methods, utils",,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",,GPL (>= 2),,,,,yes,4.2.2
RcppArmadillo,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.12.0.1.0,,R (>= 3.3.0),"Rcpp (>= 0.11.0), stats, utils, methods",Rcpp,"tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",,GPL (>= 2),,,,,yes,4.2.2
RcppEigen,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.3.9.3,,R (>= 3.6.0),"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils",Rcpp,"inline, tinytest, pkgKitten, microbenchmark",,GPL (>= 2) | file LICENSE,,,,,yes,4.2.2
RcppTOML,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.2.2,,R (>= 3.3.0),Rcpp (>= 0.11.5),Rcpp,tinytest,,GPL (>= 2),,,,,yes,4.2.2
rebird,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3.0,,R (>= 2.10),"methods, utils, stats, httr (>= 1.0.0), jsonlite, dplyr,
assertthat",,"knitr, rmarkdown, testthat, covr",,MIT + file LICENSE,,,,,no,4.2.1
recipes,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.5,,"dplyr (>= 1.1.0), R (>= 3.4)","cli, clock (>= 0.6.1), ellipsis, generics (>= 0.1.2), glue,
gower, hardhat (>= 1.2.0), ipred (>= 0.9-12), lifecycle (>=
1.0.3), lubridate (>= 1.8.0), magrittr, Matrix, purrr (>=
0.2.3), rlang (>= 1.0.3), stats, tibble, tidyr (>= 1.0.0),
tidyselect (>= 1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",,"covr, ddalpha, dials (>= 1.0.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 0.1.7), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",,MIT + file LICENSE,,,,,no,4.2.2
rematch2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.1.2,,,tibble,,"covr, testthat",,MIT + file LICENSE,,,,,no,4.2.1
remotes,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,2.4.2,,R (>= 3.0.0),"methods, stats, tools, utils",,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",,MIT + file LICENSE,,,,,no,4.2.2
reshape,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.8.9,,R (>= 2.6.1),plyr,,,,MIT + file LICENSE,,,,,yes,4.2.1
reshape2,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.4.4,,R (>= 3.1),"plyr (>= 1.8.1), Rcpp, stringr",Rcpp,"covr, lattice, testthat (>= 0.8.0)",,MIT + file LICENSE,,,,,yes,4.2.1
reticulate,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.28,,R (>= 3.0),"Matrix, Rcpp (>= 0.12.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, withr",Rcpp,"callr, knitr, rlang, rmarkdown, testthat",,Apache License 2.0,,,,,yes,4.2.2
rgbif,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,3.7.5,,,"xml2, ggplot2, crul (>= 0.7.4), data.table, whisker, magrittr,
jsonlite (>= 1.6), oai (>= 0.2.2), tibble, lazyeval, R6,
conditionz, stats, wk",,"testthat, png, raster, protolite (>= 2.0), sf, randgeo, vcr
(>= 1.2.0), knitr, rmarkdown",,MIT + file LICENSE,,,,,no,4.2.2
rgdal,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.6-5,,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils",sp,"knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",,GPL (>= 2),,,,,yes,4.2.2
rgeos,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.6-2,,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics",sp,"maptools (>= 0.8-5), testthat, XML, maps, rgdal",,GPL (>= 2),,,,,yes,4.2.2
ridigbio,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,0.3.6,,R (>= 3.0.1),"httr, jsonlite, plyr, stats",,testthat,,MIT + file LICENSE,,,,,no,4.2.1
RJSONIO,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.3-1.8,,,methods,,,,BSD_3_clause + file LICENSE,,,,,yes,4.2.2
rlang,/home/tj/R/x86_64-pc-linux-gnu-library/4.2,1.0.6,,R (>= 3.4.0),utils,,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr",winch,MIT + file LICENSE,,,,,yes,4.2.1
